time,open,high,low,close
1604973600,1.31826,1.31987,1.31803,1.31812
1604977200,1.31812,1.31895,1.31763,1.31823
1604980800,1.31823,1.31945,1.31797,1.31852
1604984400,1.31852,1.319,1.3176,1.31848
1604988000,1.31848,1.3191,1.31741,1.31899
1604991600,1.31899,1.31965,1.31672,1.3172
1604995200,1.3172,1.32245,1.31698,1.32132
1604998800,1.32132,1.32542,1.32088,1.32489
1605002400,1.32489,1.32598,1.32277,1.32424
1605006000,1.32424,1.32724,1.32306,1.32614
1605009600,1.32614,1.32682,1.32292,1.32493
1605013200,1.32493,1.32585,1.32222,1.32391
1605016800,1.32391,1.32647,1.32332,1.32569
1605020400,1.32569,1.32784,1.32344,1.32496
1605024000,1.32496,1.32507,1.32148,1.32335
1605027600,1.32335,1.32526,1.32309,1.32367
1605031200,1.32367,1.32519,1.32366,1.32463
1605034800,1.32463,1.3258,1.32442,1.32535
1605038400,1.32535,1.32547,1.32435,1.32474
1605042000,1.32474,1.32778,1.32463,1.32695
1605045600,1.32695,1.3271,1.32565,1.32691
1605049200,1.32691,1.32709,1.32588,1.32605
1605052800,1.32605,1.32746,1.32571,1.32577
1605056400,1.32577,1.32707,1.32532,1.3266
1605060000,1.3266,1.32802,1.32635,1.32701
1605063600,1.32701,1.32777,1.32688,1.32689
1605067200,1.32689,1.32739,1.32625,1.32628
1605070800,1.32628,1.3267,1.32588,1.32617
1605074400,1.32617,1.32684,1.32526,1.32623
1605078000,1.32623,1.3288,1.32621,1.32763
1605081600,1.32763,1.32921,1.32708,1.32811
1605085200,1.32811,1.33135,1.32394,1.32619
1605088800,1.32619,1.32734,1.3251,1.32583
1605092400,1.32583,1.32816,1.32568,1.32705
1605096000,1.32705,1.32721,1.3224,1.32265
1605099600,1.32265,1.32467,1.32159,1.32452
1605103200,1.32452,1.32534,1.32037,1.32096
1605106800,1.32096,1.32178,1.31913,1.31966
1605110400,1.31966,1.32076,1.31927,1.32033
1605114000,1.32033,1.32152,1.31968,1.32016
1605117600,1.32016,1.32155,1.32006,1.32138
1605121200,1.32138,1.32189,1.32067,1.32123
1605124800,1.32123,1.32171,1.32037,1.32169
1605128400,1.32169,1.32243,1.32131,1.32183
1605132000,1.32183,1.3225,1.32103,1.32226
1605135600,1.32226,1.32279,1.3217,1.32231
1605139200,1.32231,1.32245,1.3216,1.32205
1605142800,1.32205,1.32281,1.32189,1.32199
1605146400,1.32199,1.32223,1.32138,1.32147
1605150000,1.32147,1.32178,1.32114,1.32141
1605153600,1.32141,1.32154,1.32039,1.3205
1605157200,1.3205,1.32101,1.32042,1.32069
1605160800,1.32069,1.32082,1.31811,1.31872
1605164400,1.31872,1.31958,1.31694,1.31711
1605168000,1.31711,1.32001,1.31675,1.31886
1605171600,1.31886,1.31946,1.31611,1.31816
1605175200,1.31816,1.31989,1.318,1.31883
1605178800,1.31883,1.32003,1.31531,1.31535
1605182400,1.31535,1.31622,1.31328,1.31422
1605186000,1.31422,1.3181,1.31321,1.31774
1605189600,1.31774,1.31832,1.3143,1.3154
1605193200,1.3154,1.31624,1.31245,1.31284
1605196800,1.31284,1.31509,1.31284,1.31413
1605200400,1.31413,1.3146,1.31144,1.31153
1605204000,1.31153,1.31244,1.31081,1.31238
1605207600,1.31238,1.31244,1.31093,1.31174
1605211200,1.31174,1.31217,1.31064,1.31205
1605214800,1.31205,1.31245,1.31078,1.31078
1605218400,1.31078,1.31259,1.3105,1.31158
1605222000,1.31158,1.31254,1.31146,1.31209
1605225600,1.31209,1.31265,1.31152,1.31152
1605229200,1.31152,1.31244,1.31149,1.31179
1605232800,1.31179,1.31182,1.3109,1.3114
1605236400,1.3114,1.31177,1.31117,1.31145
1605240000,1.31145,1.31241,1.31126,1.31216
1605243600,1.31216,1.31296,1.31192,1.3126
1605247200,1.3126,1.31524,1.31219,1.3151
1605250800,1.3151,1.31661,1.31397,1.31631
1605254400,1.31631,1.31667,1.31476,1.31503
1605258000,1.31503,1.31751,1.314,1.31719
1605261600,1.31719,1.31868,1.31686,1.31794
1605265200,1.31794,1.3183,1.31652,1.317
1605268800,1.317,1.31721,1.31526,1.31651
1605272400,1.31651,1.31736,1.3156,1.31663
1605276000,1.31663,1.31731,1.31534,1.31595
1605279600,1.31595,1.31673,1.31503,1.31585
1605283200,1.31585,1.3177,1.31569,1.31746
1605286800,1.31746,1.3192,1.31722,1.31875
1605290400,1.31875,1.31909,1.31797,1.31819
1605294000,1.31819,1.3185,1.31756,1.31763
1605297600,1.31763,1.31949,1.3174,1.31946
1605301200,1.31946,1.32001,1.31905,1.31918
1605477600,1.31748,1.31897,1.31739,1.31857
1605481200,1.31857,1.32241,1.31853,1.32197
1605484800,1.32197,1.32223,1.32079,1.32117
1605488400,1.32117,1.32219,1.32103,1.32195
1605492000,1.32195,1.32265,1.32177,1.32247
1605495600,1.32247,1.32338,1.32229,1.32285
1605499200,1.32285,1.32314,1.32254,1.32265
1605502800,1.32265,1.3227,1.32162,1.32164
1605506400,1.32164,1.32254,1.32067,1.32115
1605510000,1.32115,1.32251,1.3205,1.32251
1605513600,1.32251,1.32425,1.32067,1.32087
1605517200,1.32087,1.3212,1.31677,1.31724
1605520800,1.31724,1.31874,1.31656,1.31832
1605524400,1.31832,1.32177,1.31792,1.31973
1605528000,1.31973,1.32043,1.31686,1.31696
1605531600,1.31696,1.31841,1.31665,1.31798
1605535200,1.31798,1.32044,1.31734,1.31844
1605538800,1.31844,1.31931,1.31674,1.31779
1605542400,1.31779,1.32011,1.31752,1.31944
1605546000,1.31944,1.31989,1.31875,1.3197
1605549600,1.3197,1.32,1.31862,1.31911
1605553200,1.31911,1.31977,1.31868,1.31892
1605556800,1.31892,1.31976,1.31857,1.3197
1605560400,1.3197,1.32026,1.31893,1.31976
1605564000,1.31976,1.31984,1.31834,1.31921
1605567600,1.31921,1.32339,1.31921,1.32211
1605571200,1.32211,1.3224,1.32154,1.32182
1605574800,1.32182,1.32235,1.32111,1.32122
1605578400,1.32122,1.32257,1.32074,1.32184
1605582000,1.32184,1.32284,1.3218,1.32234
1605585600,1.32234,1.3225,1.322,1.32216
1605589200,1.32216,1.3222,1.32134,1.32152
1605592800,1.32152,1.32176,1.32101,1.32116
1605596400,1.32116,1.32263,1.31932,1.31995
1605600000,1.31995,1.32274,1.31962,1.32221
1605603600,1.32221,1.32371,1.32164,1.3225
1605607200,1.3225,1.32557,1.32201,1.32465
1605610800,1.32465,1.32726,1.32463,1.3271
1605614400,1.3271,1.3271,1.32539,1.32587
1605618000,1.32587,1.32691,1.32484,1.32641
1605621600,1.32641,1.32658,1.32463,1.3256
1605625200,1.3256,1.32657,1.32442,1.32591
1605628800,1.32591,1.32605,1.32416,1.32463
1605632400,1.32463,1.32519,1.324,1.32414
1605636000,1.32414,1.32475,1.3239,1.32469
1605639600,1.32469,1.32598,1.32446,1.32592
